LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,HR,T2M,WS2M,PRECTOTCORR,CLOUD_AMT
-3.300622,55.98002,2019,1,1,1,2019-01-01,0,6.63,6.15,0,26.55
-3.300622,55.98002,2019,1,1,1,2019-01-01,1,5.07,4.93,0,52.03
-3.300622,55.98002,2019,1,1,1,2019-01-01,2,4.07,3.94,0,12.3
-3.300622,55.98002,2019,1,1,1,2019-01-01,3,3.42,3.32,0,16.25
-3.300622,55.98002,2019,1,1,1,2019-01-01,4,3,3.07,0,9.33
-3.300622,55.98002,2019,1,1,1,2019-01-01,5,2.65,2.98,0,9.34
-3.300622,55.98002,2019,1,1,1,2019-01-01,6,2.35,2.92,0,10.77
-3.300622,55.98002,2019,1,1,1,2019-01-01,7,2.13,2.91,0,8.62
-3.300622,55.98002,2019,1,1,1,2019-01-01,8,1.92,2.85,0,7.91
-3.300622,55.98002,2019,1,1,1,2019-01-01,9,2.44,2.87,0,3.59
-3.300622,55.98002,2019,1,1,1,2019-01-01,10,3.76,2.97,0,5.93
-3.300622,55.98002,2019,1,1,1,2019-01-01,11,4.73,3.18,0,2.16
-3.300622,55.98002,2019,1,1,1,2019-01-01,12,5.03,3.14,0,11.16
-3.300622,55.98002,2019,1,1,1,2019-01-01,13,4.77,2.97,0,33.32
-3.300622,55.98002,2019,1,1,1,2019-01-01,14,3.69,2.7,0,50.79
-3.300622,55.98002,2019,1,1,1,2019-01-01,15,2.09,2.59,0,73.04
-3.300622,55.98002,2019,1,1,1,2019-01-01,16,1.28,2.55,0,36.7
-3.300622,55.98002,2019,1,1,1,2019-01-01,17,0.77,2.41,0,32.39
-3.300622,55.98002,2019,1,1,1,2019-01-01,18,0.28,2.21,0,15.12
-3.300622,55.98002,2019,1,1,1,2019-01-01,19,-0.15,2.08,0,22.31
-3.300622,55.98002,2019,1,1,1,2019-01-01,20,-0.49,1.98,0,76.55
-3.300622,55.98002,2019,1,1,1,2019-01-01,21,-0.8,1.92,0,19.43
-3.300622,55.98002,2019,1,1,1,2019-01-01,22,-1.09,1.86,0,29.34
-3.300622,55.98002,2019,1,1,1,2019-01-01,23,-1.25,1.8,0,30.23
-3.300622,55.98002,2019,1,2,2,2019-01-02,0,-1.36,1.73,0,32.13
-3.300622,55.98002,2019,1,2,2,2019-01-02,1,-1.43,1.68,0,35.99
-3.300622,55.98002,2019,1,2,2,2019-01-02,2,-1.45,1.63,0,48.28
-3.300622,55.98002,2019,1,2,2,2019-01-02,3,-1.45,1.58,0,63.59
-3.300622,55.98002,2019,1,2,2,2019-01-02,4,-1.45,1.51,0,40.32
-3.300622,55.98002,2019,1,2,2,2019-01-02,5,-1.42,1.43,0,66.95
-3.300622,55.98002,2019,1,2,2,2019-01-02,6,-1.35,1.32,0,88.56
-3.300622,55.98002,2019,1,2,2,2019-01-02,7,-1.29,1.24,0,92.84
-3.300622,55.98002,2019,1,2,2,2019-01-02,8,-1.33,1.2,0,84.93
-3.300622,55.98002,2019,1,2,2,2019-01-02,9,-1.06,1.15,0,87.79
-3.300622,55.98002,2019,1,2,2,2019-01-02,10,-0.09,1.25,0,91.3
-3.300622,55.98002,2019,1,2,2,2019-01-02,11,0.45,1.73,0,24.95
-3.300622,55.98002,2019,1,2,2,2019-01-02,12,0.62,1.76,0,16.64
-3.300622,55.98002,2019,1,2,2,2019-01-02,13,0.57,1.59,0,22.51
-3.300622,55.98002,2019,1,2,2,2019-01-02,14,-0.31,1.21,0,33.88
-3.300622,55.98002,2019,1,2,2,2019-01-02,15,-1.31,1.38,0,11.43
-3.300622,55.98002,2019,1,2,2,2019-01-02,16,-1.54,1.46,0,49.65
-3.300622,55.98002,2019,1,2,2,2019-01-02,17,-1.63,1.54,0,56.88
-3.300622,55.98002,2019,1,2,2,2019-01-02,18,-1.66,1.62,0,61.89
-3.300622,55.98002,2019,1,2,2,2019-01-02,19,-1.49,1.64,0,49.66
-3.300622,55.98002,2019,1,2,2,2019-01-02,20,-1.18,1.63,0,55.41
-3.300622,55.98002,2019,1,2,2,2019-01-02,21,-1.06,1.66,0,75.25
-3.300622,55.98002,2019,1,2,2,2019-01-02,22,-1.1,1.74,0,91.41
-3.300622,55.98002,2019,1,2,2,2019-01-02,23,-1.06,1.82,0,90.7
-3.300622,55.98002,2019,1,3,3,2019-01-03,0,-0.96,1.82,0,97.99
-3.300622,55.98002,2019,1,3,3,2019-01-03,1,-0.88,1.75,0,92.93
-3.300622,55.98002,2019,1,3,3,2019-01-03,2,-0.81,1.67,0,99.48
-3.300622,55.98002,2019,1,3,3,2019-01-03,3,-0.77,1.63,0,98.61
-3.300622,55.98002,2019,1,3,3,2019-01-03,4,-0.82,1.64,0,99.34
-3.300622,55.98002,2019,1,3,3,2019-01-03,5,-0.91,1.67,0,99.32
-3.300622,55.98002,2019,1,3,3,2019-01-03,6,-0.92,1.76,0,99.32
-3.300622,55.98002,2019,1,3,3,2019-01-03,7,-0.89,1.93,0,99.32
-3.300622,55.98002,2019,1,3,3,2019-01-03,8,-0.81,2.14,0,100
-3.300622,55.98002,2019,1,3,3,2019-01-03,9,-0.1,2.34,0,100
-3.300622,55.98002,2019,1,3,3,2019-01-03,10,1.09,2.58,0,99.55
-3.300622,55.98002,2019,1,3,3,2019-01-03,11,1.84,2.73,0,98.63
-3.300622,55.98002,2019,1,3,3,2019-01-03,12,2.25,2.58,0,94.62
-3.300622,55.98002,2019,1,3,3,2019-01-03,13,2.26,2.28,0,98.73
-3.300622,55.98002,2019,1,3,3,2019-01-03,14,1.58,2.09,0,100
-3.300622,55.98002,2019,1,3,3,2019-01-03,15,0.73,2.21,0,100
-3.300622,55.98002,2019,1,3,3,2019-01-03,16,0.65,2.31,0.01,97.84
-3.300622,55.98002,2019,1,3,3,2019-01-03,17,0.91,2.41,0.01,83.45
